Temps	Canal A
(us)	(V)

-500.46760589	-2.97372400
-500.30760589	-2.97372400
-500.14760589	-2.97372400
-499.98760589	-3.15256200
-499.82760589	-2.97372400
-499.66760589	-2.97372400
-499.50760589	-2.97372400
-499.34760590	-3.15256200
-499.18760590	-2.97372400
-499.02760590	-3.15256200
-498.86760590	-2.97372400
-498.70760590	-2.97372400
-498.54760590	-3.15256200
-498.38760590	-2.97372400
-498.22760590	-3.15256200
-498.06760590	-2.97372400
-497.90760590	-3.15256200
-497.74760591	-2.97372400
-497.58760591	-2.97372400
-497.42760591	-3.15256200
-497.26760591	-2.97372400
-497.10760591	-2.97372400
-496.94760591	-2.97372400
-496.78760591	-2.97372400
-496.62760591	-3.15256200
-496.46760591	-2.97372400
-496.30760591	-3.15256200
-496.14760592	-2.97372400
-495.98760592	-2.97372400
-495.82760592	-2.97372400
-495.66760592	-2.97372400
-495.50760592	-2.97372400
-495.34760592	-2.97372400
-495.18760592	-2.97372400
-495.02760592	-3.15256200
-494.86760592	-2.97372400
-494.70760592	-2.97372400
-494.54760592	-2.97372400
-494.38760593	-2.97372400
-494.22760593	-2.97372400
-494.06760593	-3.15256200
-493.90760593	-3.15256200
-493.74760593	-3.15256200
-493.58760593	-3.15256200
-493.42760593	-3.15256200
-493.26760593	-3.15256200
-493.10760593	-2.97372400
-492.94760593	-3.15256200
-492.78760594	-3.15256200
-492.62760594	-3.15256200
-492.46760594	-2.97372400
-492.30760594	-2.97372400
-492.14760594	-3.15256200
-491.98760594	-2.97372400
-491.82760594	-3.15256200
-491.66760594	-3.15256200
-491.50760594	-3.15256200
-491.34760594	-3.15256200
-491.18760595	-3.15256200
-491.02760595	-3.15256200
-490.86760595	-2.97372400
-490.70760595	-2.97372400
-490.54760595	-2.97372400
-490.38760595	-3.15256200
-490.22760595	-3.15256200
-490.06760595	-3.15256200
-489.90760595	-2.97372400
-489.74760595	-3.15256200
-489.58760595	-3.15256200
-489.42760596	-2.97372400
-489.26760596	-3.15256200
-489.10760596	-3.15256200
-488.94760596	-3.15256200
-488.78760596	-2.97372400
-488.62760596	-3.15256200
-488.46760596	-2.97372400
-488.30760596	-2.97372400
-488.14760596	-2.97372400
-487.98760596	-2.97372400
-487.82760597	-2.97372400
-487.66760597	-2.97372400
-487.50760597	-2.97372400
-487.34760597	-2.97372400
-487.18760597	-2.97372400
-487.02760597	-2.97372400
-486.86760597	-3.15256200
-486.70760597	-2.97372400
-486.54760597	-2.97372400
