Temps	Canal A
(us)	(V)

-250.21599140	-1.36112500
-250.13599140	-1.36112500
-250.05599140	-1.36112500
-249.97599140	-1.36112500
-249.89599140	-1.36112500
-249.81599140	-1.36112500
-249.73599140	-1.36112500
-249.65599140	-1.36112500
-249.57599140	-1.36112500
-249.49599140	-1.36112500
-249.41599141	-1.36112500
-249.33599141	-1.36112500
-249.25599141	-1.36112500
-249.17599141	-1.36112500
-249.09599141	-1.36112500
-249.01599141	-1.36112500
-248.93599141	-1.36112500
-248.85599141	-1.18228700
-248.77599141	-1.36112500
-248.69599141	-1.18228700
-248.61599141	-1.18228700
-248.53599141	-1.18228700
-248.45599141	-1.18228700
-248.37599141	-1.18228700
-248.29599141	-1.18228700
-248.21599141	-1.18228700
-248.13599141	-1.18228700
-248.05599141	-1.18228700
-247.97599141	-1.18228700
-247.89599141	-1.18228700
-247.81599141	-1.18228700
-247.73599142	-1.18228700
-247.65599142	-1.18228700
-247.57599142	-1.18228700
-247.49599142	-1.18228700
-247.41599142	-1.18228700
-247.33599142	-1.00283800
-247.25599142	-1.00283800
-247.17599142	-1.00283800
-247.09599142	-1.00283800
-247.01599142	-1.00283800
-246.93599142	-1.00283800
-246.85599142	-1.00283800
-246.77599142	-1.00283800
-246.69599142	-1.00283800
-246.61599142	-1.00283800
-246.53599142	-1.00283800
-246.45599142	-1.00283800
-246.37599142	-1.00283800
-246.29599142	-1.00283800
-246.21599142	-1.00283800
-246.13599142	-1.00283800
-246.05599143	-1.00283800
-245.97599143	-1.00283800
-245.89599143	-0.82399980
-245.81599143	-0.82399980
-245.73599143	-0.82399980
-245.65599143	-0.82399980
-245.57599143	-0.82399980
-245.49599143	-0.82399980
-245.41599143	-0.82399980
-245.33599143	-0.82399980
-245.25599143	-0.82399980
-245.17599143	-0.82399980
-245.09599143	-0.64455090
-245.01599143	-0.64455090
-244.93599143	-0.82399980
-244.85599143	-0.64455090
-244.77599143	-0.64455090
-244.69599143	-0.64455090
-244.61599143	-0.64455090
-244.53599143	-0.64455090
-244.45599144	-0.64455090
-244.37599144	-0.64455090
-244.29599144	-0.64455090
-244.21599144	-0.64455090
-244.13599144	-0.64455090
-244.05599144	-0.64455090
-243.97599144	-0.64455090
-243.89599144	-0.64455090
-243.81599144	-0.64455090
-243.73599144	-0.64455090
-243.65599144	-0.64455090
-243.57599144	-0.64455090
-243.49599144	-0.46571250
-243.41599144	-0.46571250
-243.33599144	-0.46571250
-243.25599144	-0.46571250
