Temps	Canal A
(ms)	(V)

-1.00065500	-2.25714900
-1.00033500	-2.25714900
-1.00001500	-2.25714900
-0.99969500	-2.25714900
-0.99937500	-2.25714900
-0.99905500	-2.25714900
-0.99873500	-2.25714900
-0.99841500	-2.07770000
-0.99809500	-2.25714900
-0.99777500	-2.25714900
-0.99745500	-2.25714900
-0.99713500	-2.07770000
-0.99681500	-2.07770000
-0.99649500	-2.07770000
-0.99617500	-2.07770000
-0.99585500	-2.07770000
-0.99553500	-2.07770000
-0.99521500	-2.07770000
-0.99489500	-2.07770000
-0.99457500	-2.07770000
-0.99425500	-2.07770000
-0.99393500	-1.89886200
-0.99361500	-2.07770000
-0.99329500	-1.89886200
-0.99297500	-1.89886200
-0.99265500	-1.89886200
-0.99233500	-2.07770000
-0.99201500	-1.89886200
-0.99169500	-1.89886200
-0.99137500	-1.89886200
-0.99105500	-1.89886200
-0.99073500	-1.89886200
-0.99041500	-1.89886200
-0.99009500	-1.89886200
-0.98977500	-1.89886200
-0.98945500	-1.89886200
-0.98913500	-1.89886200
-0.98881500	-1.89886200
-0.98849500	-1.89886200
-0.98817500	-1.89886200
-0.98785500	-1.89886200
-0.98753500	-1.89886200
-0.98721500	-1.89886200
-0.98689500	-1.89886200
-0.98657500	-1.89886200
-0.98625500	-1.89886200
-0.98593500	-1.89886200
-0.98561500	-1.89886200
-0.98529500	-1.71941300
-0.98497500	-1.71941300
-0.98465500	-1.71941300
-0.98433500	-1.71941300
-0.98401500	-1.71941300
-0.98369500	-1.71941300
-0.98337500	-1.71941300
-0.98305500	-1.71941300
-0.98273500	-1.71941300
-0.98241500	-1.71941300
-0.98209500	-1.71941300
-0.98177500	-1.71941300
-0.98145500	-1.71941300
-0.98113500	-1.71941300
-0.98081500	-1.71941300
-0.98049500	-1.71941300
-0.98017500	-1.71941300
-0.97985500	-1.71941300
-0.97953500	-1.71941300
-0.97921500	-1.71941300
-0.97889500	-1.54057400
-0.97857500	-1.71941300
-0.97825500	-1.54057400
-0.97793500	-1.71941300
-0.97761500	-1.54057400
-0.97729500	-1.71941300
-0.97697500	-1.54057400
-0.97665500	-1.54057400
-0.97633500	-1.54057400
-0.97601500	-1.54057400
-0.97569500	-1.54057400
-0.97537500	-1.54057400
-0.97505500	-1.54057400
-0.97473500	-1.54057400
-0.97441500	-1.54057400
-0.97409500	-1.54057400
-0.97377500	-1.36112500
-0.97345500	-1.54057400
-0.97313500	-1.36112500
-0.97281500	-1.36112500
-0.97249500	-1.36112500
-0.97217500	-1.36112500
-0.97185500	-1.36112500
-0.97153500	-1.36112500
-0.97121500	-1.36112500
-0.97089500	-1.36112500
-0.97057500	-1.36112500
-0.97025500	-1.36112500
-0.96993500	-1.36112500
-0.96961500	-1.36112500
-0.96929500	-1.36112500
-0.96897500	-1.36112500
-0.96865500	-1.36112500
-0.96833500	-1.36112500
-0.96801500	-1.36112500
-0.96769500	-1.36112500
-0.96737500	-1.36112500
-0.96705500	-1.36112500
-0.96673500	-1.36112500
-0.96641500	-1.36112500
-0.96609500	-1.18228700
-0.96577500	-1.36112500
